Name,Theory/Lectures Filmed?,Needs,FilmingWorkShop / Examples / Whatever Supplementary Materials,Status,Person Assinged Writer,Projects,Other Filming Locations?,Parent,PDFs/Attachments,Doesn't Need Attachment,Missing Attachments?,Amount of Projects,Module priority,Parent?,Parent Groups,FilmingTheory?,Workshops/Supplementaries Filmed?
Conversions,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Conversions,,No
06 Outreach and Finding work/clients,Yes,PDF,"Aydan, Alex O'Connor",Finding Examples,"Aydan, Alex O'Connor",C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21),,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,No,Yes,1,Normal,No,Conversions,"Alex O'Connor, Aydan",No
05 Speaking Engagements,Yes,PDF,Alex O'Connor,Finding Examples,Alex O'Connor,"F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,No,Yes,2,Normal,No,Conversions,Alex O'Connor,No
08 How it builds your business (Delete this?) (or rename to like ‘invisible/mysterious/indirect conversions),No,,,Not started,"Aydan, Alex O'Connor","F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,No,Yes,3,Medium,No,Conversions,,No
03 Podcasting,Yes,"PDF, affiliate links",Alex O'Connor,Finding Examples,Alex O'Connor,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,No,Yes,4,Medium,No,Conversions,"Joden, Aydan",No
07 Newsletter,No,PDF,Tia Warner,Finding Examples,"Tia Warner, Alex O'Connor","C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,No,Yes,4,Medium,No,Conversions,"Tia Warner, Joden",No
04 YouTube,Yes,"PDF, affiliate links",Alex O'Connor,Finding Examples,"Alex O'Connor, Tia Warner, Joden","C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,No,Yes,4,Medium,No,Conversions,"Joden, Alex O'Connor",No
02 Lead Magnets,Yes,"PDF, affiliate links",Alex O'Connor,Finding Examples,Alex O'Connor,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,No,Yes,4,Medium,No,Conversions,Alex O'Connor,No
01 Taking People off Platform (intro to Conversions),Yes,affiliate links,Alex O'Connor,Finding Examples,Alex O'Connor,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,No,Yes,4,Medium,No,Conversions,"Alex O'Connor, Joden",No
Delegation,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Delegation,,No
