Name,Theory/Lectures Filmed?,Needs,FilmingWorkShop / Examples / Whatever Supplementary Materials,Status,Person Assinged Writer,Projects,Other Filming Locations?,Parent,PDFs/Attachments,Doesn't Need Attachment,Missing Attachments?,Amount of Projects,Module priority,Parent?,Parent Groups,FilmingTheory?,Workshops/Supplementaries Filmed?,Parent item,Assigned to Attachments,Child,Essential (Middle Tier),String Length
Conversions,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Conversions,,No,,,"03 Podcasting (Course%20Modules%2017ed642a7f7180668c64c23a322826af/03%20Podcasting%2017ed642a7f71801c80b2cd761b2fa30c.csv), 02 Lead Magnets (Course%20Modules%2017ed642a7f7180668c64c23a322826af/02%20Lead%20Magnets%2017ed642a7f71805aa9e0cce12808b4c9.csv), 01 Taking People off Platform (intro to Conversions) (Course%20Modules%2017ed642a7f7180668c64c23a322826af/01%20Taking%20People%20off%20Platform%20(intro%20to%20Conversion%2017ed642a7f71807b9460f9bfef993d1d.csv), 08 How it builds your business (Delete this?) (or rename to like ‘invisible/mysterious/indirect conversions) (Course%20Modules%2017ed642a7f7180668c64c23a322826af/08%20How%20it%20builds%20your%20business%20(Delete%20this%20)%20(or%20%2017ed642a7f7180a4b8d4f7d772195cc7.csv), 05 Speaking Engagements (Course%20Modules%2017ed642a7f7180668c64c23a322826af/05%20Speaking%20Engagements%2017ed642a7f7180b38953f0d7e2b5f3ce.csv), 07 Newsletter (Course%20Modules%2017ed642a7f7180668c64c23a322826af/07%20Newsletter%2017ed642a7f7180db9212ce8e897b1176.csv), 04 YouTube (Course%20Modules%2017ed642a7f7180668c64c23a322826af/04%20YouTube%2017ed642a7f7180fc8297e921db408088.csv), 06 Outreach and Finding work/clients (Course%20Modules%2017ed642a7f7180668c64c23a322826af/06%20Outreach%20and%20Finding%20work%20clients%20181d642a7f7180d8abe0ec25278a7679.csv)",,0
06 Outreach and Finding work/clients,Yes,PDF,"Aydan, Alex O'Connor",Finding Examples,"Aydan, Alex O'Connor",C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21),,Conversions (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Conversions%2017ed642a7f7180c4a6fbdfe236e63d2e.csv),,No,Yes,1,Normal,No,Conversions,"Alex O'Connor, Aydan",No,,,,,0
05 Speaking Engagements,Yes,PDF,Alex O'Connor,Finding Examples,Alex O'Connor,"F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Conversions (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Conversions%2017ed642a7f7180c4a6fbdfe236e63d2e.csv),,No,Yes,2,Normal,No,Conversions,Alex O'Connor,No,Conversions (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Conversions%2017ed642a7f7180c4a6fbdfe236e63d2e.csv),,,F,1
08 How it builds your business (Delete this?) (or rename to like ‘invisible/mysterious/indirect conversions),No,,,Not started,"Aydan, Alex O'Connor","F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Conversions (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Conversions%2017ed642a7f7180c4a6fbdfe236e63d2e.csv),,No,Yes,3,Medium,No,Conversions,,No,Conversions (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Conversions%2017ed642a7f7180c4a6fbdfe236e63d2e.csv),,,F,1
03 Podcasting,Yes,"PDF, affiliate links",Alex O'Connor,Finding Examples,Alex O'Connor,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Conversions (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Conversions%2017ed642a7f7180c4a6fbdfe236e63d2e.csv),,No,Yes,4,Medium,No,Conversions,"Joden, Aydan",No,Conversions (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Conversions%2017ed642a7f7180c4a6fbdfe236e63d2e.csv),,,F,1
07 Newsletter,No,PDF,Tia Warner,Finding Examples,"Tia Warner, Alex O'Connor","C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Conversions (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Conversions%2017ed642a7f7180c4a6fbdfe236e63d2e.csv),,No,Yes,4,Medium,No,Conversions,"Tia Warner, Joden",No,Conversions (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Conversions%2017ed642a7f7180c4a6fbdfe236e63d2e.csv),,,F,1
04 YouTube,Yes,"PDF, affiliate links",Alex O'Connor,Finding Examples,"Alex O'Connor, Tia Warner, Joden","C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Conversions (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Conversions%2017ed642a7f7180c4a6fbdfe236e63d2e.csv),,No,Yes,4,Medium,No,Conversions,"Joden, Alex O'Connor",No,Conversions (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Conversions%2017ed642a7f7180c4a6fbdfe236e63d2e.csv),,,CF,2
02 Lead Magnets,Yes,"PDF, affiliate links",Alex O'Connor,Finding Examples,Alex O'Connor,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Conversions (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Conversions%2017ed642a7f7180c4a6fbdfe236e63d2e.csv),,No,Yes,4,Medium,No,Conversions,Alex O'Connor,No,Conversions (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Conversions%2017ed642a7f7180c4a6fbdfe236e63d2e.csv),,,F,1
01 Taking People off Platform (intro to Conversions),Yes,affiliate links,Alex O'Connor,Finding Examples,Alex O'Connor,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Conversions (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Conversions%2017ed642a7f7180c4a6fbdfe236e63d2e.csv),,No,Yes,4,Medium,No,Conversions,"Alex O'Connor, Joden",No,Conversions (Course%20Modules%2017ed642a7f7180668c64c23a322826af/Conversions%2017ed642a7f7180c4a6fbdfe236e63d2e.csv),,,F,1
Delegation,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Delegation,,No,,,"02 First Bottlenecks (setup) (Course%20Modules%2017ed642a7f7180668c64c23a322826af/02%20First%20Bottlenecks%20(setup)%2017ed642a7f71806b9b7deb045be8f8c9.csv), 05 How to make the content run itself (hiring/motivating)   (Course%20Modules%2017ed642a7f7180668c64c23a322826af/05%20How%20to%20make%20the%20content%20run%20itself%20(hiring%20moti%2017ed642a7f7180959811c8fbf6e26544.csv), 04 Videography Delegated (Course%20Modules%2017ed642a7f7180668c64c23a322826af/04%20Videography%20Delegated%2017ed642a7f7180a79f10f32a871e6f38.csv), 06 Creating a Team Workflow (technical pipeline breakdown) (Course%20Modules%2017ed642a7f7180668c64c23a322826af/06%20Creating%20a%20Team%20Workflow%20(technical%20pipeline%20br%2017ed642a7f7180c2bd76f27d1bd0572a.csv), 01 Introduction to Delegationintro (Course%20Modules%2017ed642a7f7180668c64c23a322826af/01%20Introduction%20to%20Delegationintro%2017ed642a7f7180c4a204e21f477b1218.csv), 03 Creation of the Creative Team (Course%20Modules%2017ed642a7f7180668c64c23a322826af/03%20Creation%20of%20the%20Creative%20Team%20181d642a7f7180ce86d3f5324d6f52f1.csv)",,0
